date,nav
03-05-2024,3091.41750
02-05-2024,3090.50360
30-04-2024,3089.05020
29-04-2024,3088.51690
26-04-2024,3087.35870
25-04-2024,3086.82890
24-04-2024,3086.55450
23-04-2024,3086.43070
22-04-2024,3085.64840
19-04-2024,3083.79450
18-04-2024,3084.15500
16-04-2024,3082.88150
15-04-2024,3082.44410
12-04-2024,3080.72930
10-04-2024,3080.20290
08-04-2024,3078.43140
05-04-2024,3077.26440
04-04-2024,3076.73120
03-04-2024,3076.08660
02-04-2024,3075.31650
31-03-2024,3073.37750
28-03-2024,3071.73420
27-03-2024,3068.63830
26-03-2024,3067.79690
22-03-2024,3066.40580
21-03-2024,3065.91960
20-03-2024,3064.96770
19-03-2024,3064.52100
18-03-2024,3063.90800
15-03-2024,3062.35590
14-03-2024,3061.91200
13-03-2024,3061.90640
12-03-2024,3061.25800
11-03-2024,3060.89660
07-03-2024,3058.20520
06-03-2024,3057.38010
05-03-2024,3056.50440
04-03-2024,3055.87860
01-03-2024,3053.97610
29-02-2024,3053.42570
28-02-2024,3053.00130
27-02-2024,3052.56400
26-02-2024,3051.93280
23-02-2024,3050.04520
22-02-2024,3049.47930
21-02-2024,3048.45850
20-02-2024,3047.71530
16-02-2024,3045.15450
15-02-2024,3044.49270
14-02-2024,3043.73100
13-02-2024,3043.26500
12-02-2024,3042.82840
09-02-2024,3041.45550
08-02-2024,3041.19770
07-02-2024,3040.69170
06-02-2024,3039.83400
05-02-2024,3039.55520
02-02-2024,3038.03040
01-02-2024,3037.02300
31-01-2024,3035.92080
30-01-2024,3035.32910
29-01-2024,3034.79310
25-01-2024,3032.34470
24-01-2024,3031.93890
23-01-2024,3031.76330
19-01-2024,3029.87580
18-01-2024,3029.36090
17-01-2024,3029.29080
16-01-2024,3028.68680
15-01-2024,3028.42770
12-01-2024,3026.40460
11-01-2024,3025.57640
10-01-2024,3025.18310
09-01-2024,3024.56140
08-01-2024,3023.77030
05-01-2024,3021.92460
04-01-2024,3021.43590
03-01-2024,3021.00700
02-01-2024,3020.48800
01-01-2024,3019.99020
29-12-2023,3018.22810
28-12-2023,3016.85360
27-12-2023,3016.11690
26-12-2023,3015.87310
22-12-2023,3013.77360
21-12-2023,3013.14600
20-12-2023,3012.67640
19-12-2023,3012.13810
18-12-2023,3011.61300
15-12-2023,3009.92910
14-12-2023,3009.08790
13-12-2023,3008.01820
12-12-2023,3007.36700
11-12-2023,3007.17030
08-12-2023,3005.79150
07-12-2023,3005.43730
06-12-2023,3004.74290
05-12-2023,3004.07820
04-12-2023,3003.40840
01-12-2023,3001.69190
30-11-2023,3001.42050
29-11-2023,3001.17680
28-11-2023,3000.45290
24-11-2023,2998.25220
23-11-2023,2998.02570
22-11-2023,2997.59720
21-11-2023,2997.07150
20-11-2023,2996.96940
17-11-2023,2995.55920
16-11-2023,2994.97870
15-11-2023,2994.57520
13-11-2023,2993.31700
10-11-2023,2991.67600
09-11-2023,2991.31560
08-11-2023,2990.82150
07-11-2023,2990.26810
06-11-2023,2989.67220
03-11-2023,2987.90970
02-11-2023,2987.09460
01-11-2023,2986.28840
31-10-2023,2985.75060
30-10-2023,2985.13110
27-10-2023,2983.98100
26-10-2023,2983.33020
25-10-2023,2983.08270
23-10-2023,2981.96020
20-10-2023,2980.37930
19-10-2023,2979.96770
18-10-2023,2979.85670
17-10-2023,2979.38510
16-10-2023,2978.82190
13-10-2023,2977.31150
12-10-2023,2976.90370
11-10-2023,2976.28070
10-10-2023,2975.46240
09-10-2023,2974.77760
06-10-2023,2973.90200
05-10-2023,2975.83440
04-10-2023,2974.80160
03-10-2023,2974.27010
29-09-2023,2972.23080
27-09-2023,2971.37640
26-09-2023,2970.97730
25-09-2023,2970.58770
22-09-2023,2969.14400
21-09-2023,2968.69240
20-09-2023,2968.12280
18-09-2023,2966.97840
15-09-2023,2965.54640
14-09-2023,2965.46640
13-09-2023,2964.62050
12-09-2023,2963.87910
11-09-2023,2963.51910
08-09-2023,2962.40660
07-09-2023,2961.80210
06-09-2023,2961.24000
05-09-2023,2960.91290
04-09-2023,2960.48530
01-09-2023,2959.02630
31-08-2023,2958.45350
30-08-2023,2957.84070
29-08-2023,2957.12180
28-08-2023,2956.59810
25-08-2023,2954.95890
24-08-2023,2954.44300
23-08-2023,2953.69730
22-08-2023,2953.00970
21-08-2023,2952.55340
18-08-2023,2950.85090
17-08-2023,2950.46200
14-08-2023,2949.79110
11-08-2023,2948.47910
10-08-2023,2948.45870
09-08-2023,2948.02660
08-08-2023,2947.54220
07-08-2023,2947.32320
04-08-2023,2945.79390
03-08-2023,2945.44960
02-08-2023,2945.13300
01-08-2023,2944.59400
31-07-2023,2943.96930
28-07-2023,2942.54360
27-07-2023,2942.65820
26-07-2023,2941.97470
25-07-2023,2941.35790
24-07-2023,2941.02010
21-07-2023,2939.56640
20-07-2023,2939.43050
19-07-2023,2939.00390
18-07-2023,2938.43180
17-07-2023,2937.55340
14-07-2023,2936.02140
13-07-2023,2935.16280
12-07-2023,2933.94200
11-07-2023,2933.29500
10-07-2023,2932.46220
07-07-2023,2931.14500
06-07-2023,2930.91470
05-07-2023,2930.57060
04-07-2023,2929.97360
03-07-2023,2928.92960
30-06-2023,2927.43070
28-06-2023,2926.37020
27-06-2023,2925.62400
26-06-2023,2925.41220
23-06-2023,2924.12030
22-06-2023,2923.73680
21-06-2023,2923.53530
20-06-2023,2923.00050
19-06-2023,2922.26990
16-06-2023,2920.75320
15-06-2023,2920.14290
14-06-2023,2919.65710
13-06-2023,2919.24410
12-06-2023,2918.50190
09-06-2023,2917.09550
08-06-2023,2917.22350
07-06-2023,2917.23570
06-06-2023,2916.75110
05-06-2023,2915.88710
02-06-2023,2914.51540
01-06-2023,2913.81840
31-05-2023,2912.91380
30-05-2023,2912.54420
29-05-2023,2911.85310
26-05-2023,2910.82160
25-05-2023,2910.29920
24-05-2023,2909.86160
23-05-2023,2909.42250
22-05-2023,2909.82370
19-05-2023,2906.82320
18-05-2023,2906.25300
17-05-2023,2905.72640
16-05-2023,2904.77340
15-05-2023,2903.48200
12-05-2023,2901.71480
11-05-2023,2901.17470
10-05-2023,2900.66940
09-05-2023,2900.40530
08-05-2023,2900.02060
04-05-2023,2897.88790
03-05-2023,2897.57540
02-05-2023,2896.38580
28-04-2023,2894.67380
27-04-2023,2894.61420
26-04-2023,2894.10800
25-04-2023,2893.51970
24-04-2023,2892.78720
21-04-2023,2891.05510
20-04-2023,2890.27510
19-04-2023,2889.73800
18-04-2023,2888.90950
17-04-2023,2888.05240
13-04-2023,2886.08460
12-04-2023,2885.55650
11-04-2023,2884.40290
10-04-2023,2883.93830
06-04-2023,2881.57670
05-04-2023,2878.57280
03-04-2023,2877.21150
31-03-2023,2875.53120
29-03-2023,2872.75120
28-03-2023,2871.00080
27-03-2023,2870.66760
24-03-2023,2869.57140
23-03-2023,2869.36200
21-03-2023,2867.83030
20-03-2023,2867.28140
17-03-2023,2865.00690
16-03-2023,2864.75210
15-03-2023,2864.52470
14-03-2023,2864.06620
13-03-2023,2862.95530
10-03-2023,2859.79240
09-03-2023,2858.66980
08-03-2023,2858.15240
06-03-2023,2857.62760
03-03-2023,2856.57830
02-03-2023,2856.13080
01-03-2023,2855.89460
28-02-2023,2855.56950
27-02-2023,2855.37410
24-02-2023,2854.46850
23-02-2023,2854.08140
22-02-2023,2853.64820
21-02-2023,2853.55170
20-02-2023,2853.04910
17-02-2023,2851.50540
16-02-2023,2851.42820
15-02-2023,2850.87720
14-02-2023,2850.27570
13-02-2023,2850.57430
10-02-2023,2848.92750
09-02-2023,2848.34990
08-02-2023,2848.02620
07-02-2023,2848.32560
06-02-2023,2847.76140
03-02-2023,2846.46630
02-02-2023,2845.93000
01-02-2023,2845.33400
31-01-2023,2843.90590
30-01-2023,2843.47410
27-01-2023,2842.67800
25-01-2023,2841.92190
24-01-2023,2841.42700
23-01-2023,2841.06650
20-01-2023,2839.60970
19-01-2023,2839.37290
18-01-2023,2838.82070
17-01-2023,2838.44810
16-01-2023,2837.89010
13-01-2023,2836.74450
12-01-2023,2836.23360
11-01-2023,2835.71760
10-01-2023,2835.26860
09-01-2023,2835.07110
06-01-2023,2833.38660
05-01-2023,2832.87560
04-01-2023,2832.30380
03-01-2023,2831.88300
02-01-2023,2831.54140
30-12-2022,2830.09620
29-12-2022,2829.16370
28-12-2022,2828.49840
27-12-2022,2828.03370
26-12-2022,2827.35410
23-12-2022,2826.16700
22-12-2022,2825.75390
21-12-2022,2825.53850
20-12-2022,2824.97580
19-12-2022,2824.74790
16-12-2022,2823.34920
15-12-2022,2822.98990
14-12-2022,2822.85960
13-12-2022,2822.06190
12-12-2022,2821.37390
09-12-2022,2819.88300
08-12-2022,2819.44390
07-12-2022,2819.01920
06-12-2022,2818.99170
05-12-2022,2818.60170
